ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,正負樣本,代碼,備註
19.07,6.75,46.26,2.95,1,2231,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
21.61,11.46,66.09,2.44,1,5871,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
11.69,2.62,44.32,3.67,1,1720,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
11.37,2.63,26.24,3.87,1,6449,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
12.11,13.7,22.36,3.14,1,6414,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
24.1,15.41,28.06,2.32,1,1476,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
18.48,21.46,36.27,1.44,1,3533,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
19.59,33.01,48.65,2.03,1,6415,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
18.64,7.95,21.31,1.77,1,4912,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
20.58,3.49,25.3,0.84,1,6715,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
16.79,4.82,46.22,6.6,1,6224,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
25.3,13.49,24.53,3.22,1,3413,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
19.23,4.06,42.11,6.43,1,5471,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
11.06,3.36,32.34,5.74,1,1598,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
14.49,5.11,63.98,3.16,1,6592,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
17.92,4.13,54.48,5.3,1,3030,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
28.7,17.93,36.4,8.32,1,2492,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
33.72,25.93,49.46,1.91,1,5269,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
17.21,4.41,60.89,13.33,1,3040,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
16.45,10.22,21.9,2.69,1,9921,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
14.6,3.24,23.93,6.62,1,3092,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
12.54,2.57,28.17,5.82,1,2493,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
13.76,4.09,53.2,3.62,1,6655,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
11.42,1.98,26.18,3.24,1,2436,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
24.11,8.64,59.09,4.11,1,6277,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
19.07,6.43,44.02,7.23,1,2373,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
14.9,6.61,31.21,4.89,1,6192,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
28.83,16.51,48.49,7.83,1,2915,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
17.81,7.47,22.38,2.65,1,9945,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
10.67,2.93,20.1,6.66,1,6201,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
11.55,1.9,36.63,2.92,1,8404,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
16.59,4.09,25.42,2.96,1,3530,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
20.71,5.92,31.56,5.29,1,6525,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
11.82,1.68,41.99,7.2,1,2904,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
14.55,2.75,21.4,6.41,1,2477,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
11.56,2.61,28.15,5.53,1,2449,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
15.8,4.89,25.81,1.62,1,6531,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
10.85,5.4,25.65,4.9,1,2228,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
18.9,4.62,44.15,5.75,1,1730,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
17.38,9.73,48.01,3.35,1,9941,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
17.64,4.31,21.27,4.64,1,8104,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
14.97,7.08,35.72,3.74,1,2233,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
11.96,4.96,27.69,2.22,1,3532,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
11.31,2.17,20.64,5.96,1,5519,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
13.58,3.13,32.32,5.75,1,1817,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
20.35,5.41,51.75,4.21,1,6581,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
18.03,5.19,51.95,7.14,1,3014,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
